1063,1284,56
662,1350,558
1105,1409,220,160
1368,1281,47
198,1163,1084,26
827,1591,127
7,283,1212,438
1099,1308,293
569,809,93
242,1226,1360
567,1087,30,117
1558,607,346
385,1023,786
766,1506,430
477,1296,290,334
105,899,273,122
1375,325,89
1468,34,482
250,716,164
929,1161,1452
415,697,555
326,1429,579
832,564,46
1561,20,1094
1299,1431,1
838,812,653,39
1255,148,229
1287,1343,663
506,709,447,10
1160,727,320
818,1209,543
424,940,792,408
371,349,862
914,808,144
1172,516,479,217
1233,831,358
989,961,348
282,852,8
1131,1483,375
1247,387,1107
502,1024,338
264,1147,276
1165,12,750,1153
1446,280
1305,1417,668,42
1491,1513,328,228
121,1089,805,50
948,996,1336,74
95,1219,354
617,1133,411
162,1177,452
1509,131,49,133
48,691,296,153
1587,1289,227
1530,1518,87
777,568,620
1512,1059,1158,196
836,208,136
1057,748,861,245
1316,1203,70
957,1376,75
599,888,767,14
81,1264,45
106,1434,319,100
458,249,840,126
1342,73,950
108,781,241,32
1410,235,1002
612,875,114,299
877,471,2,54
1104,1234,472
830,1303,1202
597,535,441
937,947,269,15
255,675,848,590
1036,496,1557,156
118,752,789,337
360,1213,33
213,256,756
689,1256,243,271
